"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1101","台泥","111/02/21 至 111/02/22","09:00","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120211124M002.pdf","110120211124E002.pdf","https://www.taiwancement.com/en/ir_investor-meetings.html","","無，完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1101","台泥","111/09/13 至 111/09/15","14:00","線上法說會","公司簡介、所屬產業概況、營運成果及未來展望說明","110120220922M001.pdf","110120220922E001.pdf","https://www.taiwancement.com/en/ir_investor-meetings.html","","無","查詢"
"1101","台泥","111/11/14","14:30","實體(採實名報名制)及線上法說會，實體法說會地點:台北市中山北路2段113號3樓士敏廳。","公司簡介、所屬產業概況、營運成果及未來展望說明。","110120221114M001.pdf","110120221114E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html",:未輸 法說會影音連結資訊:https://www.taiwancement.com/tw/ir_investor-meetings-inner.html?id=29 ,"實體及線上法說會報名網址：https://www.taiwancement.com/tw/investorsSignUp.html","查詢"
"1102","亞泥","111/03/31","16:00","電話法人說明會","本公司受邀參加凱基證券舉辦2021年第四季營運概況線上法說會","110220220331M001.pdf","110220220331E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/04/01","16:00","電話法人說明會","公司受邀參加HSBC舉辦線上法說會","110220220401M001.pdf","110220220401E001.pdf","https://www.acc.com.tw/",法說會影音連結資訊:未輸 ,"無","查詢"
"1102","亞泥","111/06/08","11:00","線上法人說明會","本公司受邀參加Citi舉辦Pan Asia Regional Conference","110220220526M001.pdf","110220220526E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/06/20","09:00","線上法人說明會","本公司受邀參加UBS舉辦Taiwan Virtual Conference 2022","110220220601M001.pdf","110220220601E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/01/11","14:00","線上法人說明會","本公司受邀參加元大證券舉辦法人座談會說明本公司營運現況與展望","110220220104M001.pdf","110220220104E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/08/15","16:00","線上法人說明會","本公司受邀參加KGI舉辦2022年第二季營運概況線上法說會","110220220812M001.pdf","110220220812E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/08/30","09:00","線上法人說明會","本公司受邀參加HSBC Taiwan Executive Forum說明本公司營運現況及展望","110220220812M002.pdf","110220220812E002.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/03/09","14:00","線上法人說明會","本公司受邀參加Citi舉辦之Taiwan Corporate Day 2022說明本公司營運現況與展望","110220220223M001.pdf","110220220223E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/03/10","10:30","線上法人說明會","本公司受邀參加國泰證券舉辦2022年第一季產業論壇說明本公司營運現況與展望","110220220223M002.pdf","110220220223E002.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/04/12","14:30","臺北文創","本公司受邀參加元富證券舉辦2022台股企業日說明本公司營運現況與展望","110220220401M002.pdf","110220220401E002.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/05/16","16:00","線上法人說明會","本公司受邀參加凱基證券舉辦法人座談會說明本公司營運現況與展望","110220220513M001.pdf","110220220513E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/11/15","15:00","線上法人說明會","本公司受邀參加KGI舉辦2022年第三季營運概況線上法說會","110220221114M001.pdf","110220221114E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/12/07","13:30","台北","本公司受邀參加國泰證券舉辦第四季產業論壇","110220221114M002.pdf","110220221114E002.pdf","https://www.acc.com.tw/","","無","查詢"
"1102","亞泥","111/09/14","14:00","線上法人說明會","本公司受康和、元大、富邦、台新、第一金證券聯合邀請，舉辦法人座談會說明營運現況及展望","110220220914M001.pdf","110220220914E001.pdf","https://www.acc.com.tw/","","無","查詢"
"1103","嘉泥","111/03/23","14:30","線上法說會","110年第四季公司營運狀況","110320220323M001.pdf","110320220323E001.pdf","https://www.chcgroup.com.tw/index.php?route=static/static/coptinfmtrpt",法說會影音連結資訊:https://www.youtube.com/watch?v=Ewq-5PRwHs0 ,"線上法說會報名網址：https://forms.gle/d2vSqgp1Cm5hGPbB9","查詢"
"1103","嘉泥","111/05/27","14:30","線上法說會","111年第一季公司營運狀況","110320220527M001.pdf","110320220527E001.pdf","https://www.chcgroup.com.tw/index.php?route=static/static/coptinfmtrpt",法說會影音連結資訊:https://www.youtube.com/watch?v=C34VQVQF6LY ,"線上法說會報名網址：https://forms.gle/dKjDVwDfzFoD9G5F6","查詢"
"1103","嘉泥","111/08/31","15:00","線上法說會","本公司受邀參加元富證券舉辦之法人座談會","110320220831M001.pdf","110320220831E001.pdf","https://www.chcgroup.com.tw/index.php?route=static/static/coptinfmtrpt","","無","查詢"
