"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","114/12/22","14:30","台北市松山區南京東路五段188號15F
報名洽王副理(02)2528-6999#658","本公司受邀參加國票綜合證券舉辦之法人說明會，會中將說明本公司營運成果及未來展望。","124020251222M001.pdf","124020251222E001.pdf","",中文影音檔網址:1240_16_20251222_ch.MP4 ,"無。完整相關資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1240","茂生農經","114/03/21","14:30","南港中信金融園區B棟13樓1301會議室(台北市南港區經貿二路188號13樓)","本公司受邀參加中國信託綜合證券舉辦之法人說明會，會中將說明本公司營運成果及未來展望。","124020250321M001.pdf","124020250321E001.pdf","",中文影音檔網址:1240_15_20250321_ch.MP4 ,"無。完整相關資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1259","安心","114/12/24","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢","125920251224M001.pdf","125920251224E001.pdf","https://www.mos.com.tw/invest/mops.aspx",法說會影音連結資訊:未輸 ,"無","查詢"
"1259","安心","114/09/12","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢","125920250912M001.pdf","125920250912E001.pdf","https://www.mos.com.tw/invest/mops.aspx",法說會影音連結資訊:https://www.mos.com.tw/invest/mops.aspx ,"無","查詢"
"1264","德麥","114/05/13","15:00","櫃買中心11樓多功能資訊媒體區(台北市中正區羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之『櫃買市場業績發表會』，說明114年第一季營運報告及未來展望","126420250513M001.pdf","126420250513E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1",法說會影音連結資訊:https://vimeo.com/1083802745 ,"法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1264","德麥","114/12/19","14:30","富邦南京大樓5樓(台北市南京東路二段111號5樓)","本公司受邀參加富邦綜合證券(股)公司所舉辦之法人說明會，說明114年前三季營運報告及未來展望","126420251219M001.pdf","126420251219E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1",法說會影音連結資訊:https://youtu.be/LlvHSJr4wTo ,"法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1268","漢來美食","114/09/11","14:30","線上法說會","本公司受邀參加由凱基證券舉辦之線上法人說明會，說明截至114年上半年之營運概況、財務概況及未來展望。","126820250911M001.pdf","126820250911E001.pdf","https://www.hilai-foods.com/stakeholders#96",法說會影音連結資訊:https://www.youtube.com/watch?v=SNJgEYX0d2c 官網法人說明會網址:https://www.hilai-foods.com/stakeholders#96 ,"無","查詢"
"1294","漢田生技","114/12/02","14:30","台北市中山區明水路700號（凱基證券總部）","本公司受邀參加凱基證券舉辦之法說會，會中說明本公司經營結果及營運展望。","129420251202M001.pdf","129420251202E001.pdf","https://www.htbios.com/investors",:未輸 法說會影音連結資訊:https://youtu.be/U3T1K97TMB8 ,"無","查詢"
"1295","生合","114/04/08","14:30","台北遠東國際大飯店2樓宴會廳（台北市大安區敦化南路二段201號）","(1)本次上櫃前業績發表會將由本公司經營團隊說明產業發展、財務業務狀況、未來風險、財團法人中華民國證券櫃檯買賣中心董事會暨上櫃審議委員會要求補充揭露事項。
(2) 為使入場更為順暢，欲參加者請先至 https://reurl.cc/oVOnXV填寫報名表。","129520250407M002.pdf","129520250407E002.pdf","https://www.synbiotech.com/Invest/Investorconference/Investorconference.htm","","無","查詢"
"1336","台翰","114/12/11","14:00","線上法人說明會","本公司受邀參加統一證券舉辦之線上法說會，說明公司產業及營運概況","133620251211M001.pdf","133620251211E001.pdf","https://www.thpt.com.tw/investor_conference/",中文影音檔網址:1336_5_20251211_ch.mp4 ,"相關資訊請洽統一證券","查詢"
